connected_component_count,time
2,0.0030363499999999997
3,0.00301408
4,0.0030073799999999996
5,0.00300181
6,0.0029752599999999995
7,0.002965680000000002
8,0.002916509999999999
9,0.0029812400000000005
10,0.002982450000000001
11,0.0029705899999999995
12,0.0029449099999999985
13,0.00295696
14,0.002970320000000002
15,0.002987129999999998
16,0.002910700000000004
17,0.0029366999999999965
18,0.002969900000000001
19,0.0029141200000000022
20,0.002983329999999995
21,0.0029077800000000043
22,0.002935319999999999
23,0.0029497700000000026
24,0.0029365999999999915
25,0.0029254900000000015
26,0.0029309700000000037
27,0.002962939999999996
28,0.002939500000000006
29,0.002952010000000005
30,0.0029343699999999904
31,0.0029433599999999947
32,0.00289809
33,0.0029212600000000145
34,0.002944849999999999
35,0.0029372299999999994
36,0.002940509999999996
37,0.0029376800000000002
38,0.0029060299999999904
39,0.0029223900000000034
40,0.0029722500000000096
41,0.002903549999999999
42,0.0029305299999999868
43,0.0029436200000000135
44,0.0029123399999999933
45,0.0029049299999999965
46,0.0029326200000000034
47,0.0029229400000000006
48,0.0028818900000000093
49,0.0029108999999999875
50,0.0029214900000000023
51,0.0029162700000000008
52,0.0029101
53,0.002902590000000007
54,0.002899169999999991
55,0.00289988000000001
56,0.0028675899999999997
57,0.002876039999999982
58,0.002896580000000029
59,0.002889419999999987
60,0.002908149999999985
61,0.002902629999999995
62,0.0028662100000000023
63,0.0028894200000000227
64,0.0028847599999999927
65,0.002891559999999984
66,0.0028825100000000247
67,0.0028447899999999747
68,0.0029046400000000004
69,0.0029163600000000046
70,0.002887810000000002
71,0.002897040000000004
72,0.002883670000000009
73,0.002886360000000003
74,0.0028765599999999837
75,0.0028863199999999978
76,0.002882490000000004
77,0.002915279999999996
78,0.002897010000000009
79,0.0029051899999999976
80,0.0028872900000000003
81,0.0028991999999999863
82,0.0028854800000000223
83,0.0028806200000000004
84,0.002893529999999984
85,0.0028962600000000194
86,0.0029030500000000003
87,0.002913239999999995
88,0.0028894499999999822
89,0.002892620000000008
90,0.0028811100000000066
91,0.002896560000000008
92,0.002905479999999976
93,0.002896950000000018
94,0.002898560000000003
95,0.0028776699999999876
96,0.0028825700000000153
97,0.0028945799999999977
98,0.0029172699999999805
99,0.002881549999999997
100,0.0029006100000000144
101,0.0028873700000000115
102,0.002904739999999997
103,0.0028879500000000037
104,0.0029193699999999724
105,0.0029017900000000195
106,0.0028932299999999953
107,0.002929379999999995
108,0.002915720000000022
109,0.0028970499999999787
110,0.0028931299999999994
111,0.0028930500000000237
112,0.002910789999999963
113,0.0028830500000000116
114,0.0028927300000000144
115,0.002894599999999983
116,0.0029103100000000383
117,0.0028912899999999552
118,0.0028860200000000447
119,0.0028847999999999986
120,0.002889119999999963
121,0.0028670999999999935
122,0.0029479100000000358
123,0.0028660099999999744
124,0.002915059999999983
125,0.0028975300000000457
126,0.0028902300000000023
127,0.0028893000000000057
128,0.002907479999999936
129,0.002918250000000029
130,0.0028743300000000005
131,0.002862440000000035
132,0.002886829999999989
133,0.0028931199999999535
134,0.002912110000000041
135,0.0028892799999999854
136,0.0029163400000000194
137,0.0028949899999999927
138,0.0028934799999999683
139,0.0028937900000000384
140,0.0029012699999999823
141,0.002914379999999994
142,0.002889680000000041
143,0.0028880999999999803
144,0.002887580000000014
145,0.002921750000000003
146,0.0028909699999999814
147,0.00289121999999999
148,0.0028865799999999806
149,0.002894900000000007
150,0.0028822199999999753
151,0.0028923800000000455
152,0.002910579999999996
153,0.002904759999999982
154,0.002919109999999989
155,0.0029097800000000263
156,0.0028741500000000284
157,0.002896039999999971
158,0.0029147900000000247
159,0.0029128799999999446
160,0.0029041800000000253
161,0.0029192299999999706
162,0.0028796800000000645
163,0.0029007000000000004
164,0.002893499999999989
165,0.0029148999999999603
166,0.0028287300000000215
167,0.002923679999999962
168,0.0029085800000000005
169,0.002886270000000053
170,0.0028961999999999933
171,0.0029001399999999933
172,0.002875259999999997
173,0.0029010999999999855
174,0.002892229999999998
175,0.0029124399999999897
176,0.0029028600000000184
177,0.0028973200000000075
178,0.0029054000000000003
179,0.002891010000000023
180,0.002908079999999984
181,0.0028857200000000204
182,0.002885530000000003
183,0.0029003399999999856
184,0.00287785999999997
185,0.002862530000000021
186,0.0028818599999999605
187,0.002888289999999998
188,0.0028918500000000335
189,0.0029068399999999882
190,0.0028863400000000185
191,0.0028726799999999743
192,0.002905230000000003
193,0.002887610000000009
194,0.0028894400000000074
195,0.0028536600000000334
196,0.0028696799999999457
197,0.0028968400000000116
198,0.0029053000000000394
199,0.0028899599999999736
