n,n^2,time
2,4,0.0006983000000005291
3,9,0.0006849000000002548
4,16,0.0006812999999993962
5,25,0.0006965000000008104
6,36,0.0006968999999998005
7,49,0.0006949999999989132
8,64,0.0006973000000002116
9,81,0.0006934000000001106
10,100,0.0007040000000003488
11,121,0.0007086000000001036
12,144,0.0007182999999997719
13,169,0.0007147000000003346
14,196,0.0007215999999999667
15,225,0.0007272999999997865
16,256,0.0007366000000004647
17,289,0.0007457000000002268
18,324,0.0007386999999994259
19,361,0.00072980000000058
20,400,0.0007573999999991088
21,441,0.0007299000000003276
22,484,0.0007519000000002051
23,529,0.0007562999999990438
24,576,0.0007663000000007969
25,625,0.0007609999999999672
26,676,0.0007592999999999961
27,729,0.0007632999999998447
28,784,0.0007728999999997655
29,841,0.0007916000000008694
30,900,0.0007661999999996283
31,961,0.0007758999999992966
32,1024,0.0007715000000004579
33,1089,0.0007867000000004509
34,1156,0.000795800000000213
35,1225,0.0007942999999997369
36,1296,0.0007910999999992896
37,1369,0.0007978000000008478
38,1444,0.0008099000000001411
39,1521,0.000802099999999939
40,1600,0.0007974999999987631
41,1681,0.000814700000000812
42,1764,0.0008239000000003216
43,1849,0.0008208999999993694
44,1936,0.0008178999999998382
45,2025,0.0008199000000004731
46,2116,0.0008589999999998099
47,2209,0.0008739000000005604
48,2304,0.000878299999999399
49,2401,0.0008393999999995571
50,2500,0.000865699999999947
51,2601,0.0008724000000000842
52,2704,0.0008861000000010222
53,2809,0.0009054999999989378
54,2916,0.0009080000000011524
55,3025,0.0008901999999991972
56,3136,0.0008978999999996517
57,3249,0.0009069000000010874
58,3364,0.0008953999999988582
59,3481,0.000963000000000136
60,3600,0.000927599999999984
61,3721,0.0010189000000011105
62,3844,0.0009882999999987873
63,3969,0.0010210999999998194
64,4096,0.0010575000000002887
65,4225,0.00098339999999979
66,4356,0.000998400000000288
67,4489,0.001011200000000656
68,4624,0.001000999999999408
69,4761,0.000986199999999826
70,4900,0.0009989000000004467
71,5041,0.0009735000000006266
72,5184,0.0009615999999994073
73,5329,0.0009551000000001863
74,5476,0.0009669999999999846
75,5625,0.0009509999999991692
76,5776,0.0009646000000003597
77,5929,0.0009551999999999339
78,6084,0.0009450999999998544
79,6241,0.0009422000000000707
80,6400,0.0010362000000000648
81,6561,0.0010878000000005272
82,6724,0.0010483999999991056
83,6889,0.0010621000000000437
84,7056,0.0010574000000005412
85,7225,0.001098700000000008
86,7396,0.00100659999999948
87,7569,0.001025500000000079
88,7744,0.001037900000000036
89,7921,0.0010279000000011252
90,8100,0.0010146999999989248
91,8281,0.0010556000000008225
92,8464,0.0010004999999992492
93,8649,0.0010387000000008583
94,8836,0.0010143999999996823
95,9025,0.0010287000000005265
96,9216,0.0010316999999986365
97,9409,0.001029900000000339
98,9604,0.001059600000000671
99,9801,0.0010624999999990336
100,10000,0.0010512000000005629
101,10201,0.0010197000000005119
102,10404,0.0010525999999998702
103,10609,0.0010548999999997477
104,10816,0.0010487999999995168
105,11025,0.001072000000000628
106,11236,0.0012543999999991228
107,11449,0.0011637000000007448
108,11664,0.0012861999999998375
109,11881,0.001187299999999425
110,12100,0.0011524000000008527
111,12321,0.0012147999999996273
112,12544,0.0012871000000004074
113,12769,0.0010752999999994017
114,12996,0.00113539999999972
115,13225,0.0011649000000005572
116,13456,0.0010790999999997553
117,13689,0.0011307999999999653
118,13924,0.0011092000000004986
119,14161,0.0011017999999992866
120,14400,0.0011277000000006864
121,14641,0.0011398999999997273
122,14884,0.0011241999999995755
123,15129,0.0011254000000008092
124,15376,0.0011493999999999005
125,15625,0.0011385000000004198
126,15876,0.0011579999999995038
127,16129,0.0011424000000005209
128,16384,0.0011638999999988187
129,16641,0.0011833000000009974
130,16900,0.0012339999999994688
131,17161,0.0012012999999996055
132,17424,0.001157100000000355
133,17689,0.0011870000000001823
134,17956,0.0011578999999997564
135,18225,0.0011832999999995763
136,18496,0.0011807000000004565
137,18769,0.0012095999999999663
138,19044,0.0012619000000000824
139,19321,0.0012077000000005
140,19600,0.0011710999999991144
141,19881,0.0011943999999999733
142,20164,0.0012091000000012287
143,20449,0.0012324999999989926
144,20736,0.001197500000000673
145,21025,0.0012225000000000818
146,21316,0.0012292999999999666
147,21609,0.0012096999999997137
148,21904,0.0012069999999994251
149,22201,0.0012382000000002336
150,22500,0.0012713000000005082
151,22801,0.0012166999999990934
152,23104,0.0012740000000007966
153,23409,0.001255899999999599
154,23716,0.0012543000000007965
155,24025,0.0012794999999997004
156,24336,0.0012238999999993894
157,24649,0.0012779000000008977
158,24964,0.001272399999999152
159,25281,0.0012811999999996714
160,25600,0.0012940000000000395
161,25921,0.0012869000000009124
162,26244,0.0012647000000001185
163,26569,0.0014843999999996527
164,26896,0.0012935999999996283
165,27225,0.001282199999999989
166,27556,0.0013396000000000185
167,27889,0.0013809000000009064
168,28224,0.001304999999999268
169,28561,0.0013175000000003934
170,28900,0.0016392999999993662
171,29241,0.001386200000000315
172,29584,0.001393799999999601
173,29929,0.0013359000000008336
174,30276,0.0013486999999997805
175,30625,0.0013327000000003864
176,30976,0.0013694999999998459
177,31329,0.0015920999999991636
178,31684,0.0015340000000009014
179,32041,0.001419399999998916
180,32400,0.0014758000000000492
181,32761,0.0013654999999999974
182,33124,0.0013580000000004589
183,33489,0.00138419999999968
184,33856,0.0013932000000011157
185,34225,0.001418999999999926
186,34596,0.0013793999999990093
187,34969,0.0013884000000004449
188,35344,0.0014054000000001566
189,35721,0.0014239000000003444
190,36100,0.001452599999998938
191,36481,0.0014099999999999113
192,36864,0.001403100000000279
193,37249,0.0013709000000005744
194,37636,0.001420699999999897
195,38025,0.0014540999999994142
196,38416,0.001431600000000799
197,38809,0.001415500000000236
198,39204,0.0014178000000001135
199,39601,0.0014543999999986567
200,40000,0.001440700000000561
